Property_ID,MLS_Number,Listing_Date,Sale_Date,Street_Address,City,State,Zip_Code,Country,Latitude,Longitude,Property_Type,Bedrooms,Bathrooms,Lot_Size_SqFt,Living_Area_Reported,Year_Built,Year_Renovated,Garage_Spaces,Has_Pool,Has_Garden,Heating_Type,Cooling_Type,School_Rating,Crime_Rate_Index,Neighborhood_Quality_Score,Distance_To_City_Center_Reported,HOA_Fee_Monthly,Property_Tax_Annual,Days_On_Market,List_Price,Sale_Price,Price_Per_SqFt,Is_Foreclosure,Currency,Agent_Name,Agent_Phone,Agent_Email,Listing_Description,Buyer_Feedback
PROP-103914,MLS-103914,09/25/2023,,43979 Sarah Garden, Seattle,WA,65866,USA,41.497476,-107.137238,HOUSE,1,1.0,24440.9,1551.9 sqft,2002.0,2032.0,2.0,False,yes ,Gas,,6.5,9.77,73.6,19.44 km,4.73,"5,323.18",-41,"$274,163.50",,,Yes,USD,Austin Gonzales,(993) 262-8455,austin.gonzales8@realty.com,"Cozy Hous3 with gr3at pot3ntial, locat3d n3ar top-rat3d schools in  S3attl3.","Beautiful backyard, perfect for entertaining guests."
PROP-107192,MLS-107192,26/12/2024,07/09/2025,479 Richard Trail Apt. 514,Miamii,Floridà,81824, USA,,-103.096414,TOWNHOUSE,2,1.4,6985.1,171.6 sqm,2013.0,,2.0,No,true,Gas,Window Unit,6.8,1.28,68.5,3.09 km,$227.44,"$2,787.67",13,"$324,101.48",312852.88,169.38,False,USD,Kimberly Kline,(553) 620-8879,kimberly.kline68@yahoo.com,"Spacious Townhouse featuring 2 bedrooms and 1.4 bathrooms, close to downtown Miamii.",Amazing view of the mountains from the master bedroom.
PROP-108438,MLS-108438,"August 15, 2024",,6154 Greene Fords Apt. 039,Sacramento,CA,80513,Usa,41.189485,-98.803355,HOUSE,5,4.8,3697.6,673.3 sqft,1991.0,2006.0,2.0,false, No,,,6.2,3.39,65.6,5.3 km,41.60,"$1,424.95",0,98797.61,98767.29,146.69,NO,USD,Pamela Davis ,CALL-ME-4292,pamela.davis_at_yahoo.com,"  Cozy  House with great potential, located near top-rated schools in Sacramento.  ",Closing process took way longer than promised.
PROP-105480,MLS-105480,21/08/2025,12-May-2026,8312 Renee Junctions,Sa acra amento,  California,28454,Usa,48.544489,-67.63664,CONDOMINIUM,2,1.0,2436.3,931.1 sqft,1952.0,,0.0,false,true,Gas,,8.4,8.19,81.5,25.37 mi,169.99,"$1,336.76",1,"$162,391.10",163367.07,175.46,N,USD,Lauren Camacho,428-668-8350,lauren.camacho37@gmail.com,"Spaciious Condo featuring 2 bedrooms and 1.0 bathrooms, close to downtown Sa acra amento.","Beautiful backyard, perfect for entertaining guests."
PROP-102468,MLS-102468,2025-09-05,2025-12-13,448 Kim Coves,Chicago,Illinois,90058,United States,27.647554,-108.59558,TOWNHOUSE,5,4.6,7285.7,2428.9 sqft,1986.0,,2.0,Y,Yes,Gas,,10.0,4.82,84.8,9.05 km,111.16,"5,077.33",9,"$489,647.12",479931.12,197.59,N,USD,Alexis Alexander,888.950.abcd,alexis.alexander10@realty.com,Charming 5-bed Townhouse in the heart of Chicago. Recently updated kitchen and spacious backyard.,
PROP-101051,MLS-101051,20/04/2026,2026-05-10,7744 Susan Mall Apt. 936,Denver,co,35674,US,43.108568,-113.217204,HOUSE,4,4.1,2163.2,2426.1 sqft,1997.0,,3.0,No,No,Electric,Central AC,,2.36,82.6,23.42 km,$70.65,5350.9,17,"$460,448.01",418044.66,172.31,N,USD,Carl Harper	,(359) 831-1590,carl.harper3yahoo.com,"Fixer-upper House priced to sell, needs TLC but great bones.",
PROP-105587,MLS-105587,"August 22, 2023","October 01, 2023",582 Anna Walks Apt. 094,Raleigh,North Carolina,85460,USA,43.251903,-116.204711,HOUSE,3,2.7,6926.3,1778.0 sqft,1986.0,,2.0,No,0,Wood,,3.7,5.82,59.0,16.24 km,25.14,"$4,738.54",57,"378,245.34",351560.47,197.73,False,USD,Daniel Blake ,(809) 970-5736,daniel.blake61@outlook.com,,
PROP-102455,MLS-102455,"June 29, 2024",25.04.2026,8525 George Isle Suite 679,Orlando	,FL,75947,U.S.A,47.804487,,HOUSE,4,3.9,5566.8,495.5 sqft,1993.0,,2.0,No,false,Electric,,7.1,15.07,66.0,3.57 mi,$27.69,2257.19,47,"113,595.49",118038.79,238.22,0,USD,Tammy Ayala,971.550.abcd,tammy.ayala88@realty.com,"Spacious  Hous3 f3aturing 4 b3drooms and 3.9 bathrooms, clos3 to downtown Orlando.",Agent was very responsive and helpful throughout.
PROP-105948,MLS-105948,26-Nov-2025,27-Dec-2025,5299 Jonathan Avenue,Nashville,TN,21774,US,41.838101,-77.55751,DUPLEX,4,2.2,6433.5,1317.6 sqft,2019.0,,0.0,False,0,Geothermal,Evaporative,5.9,4.7,66.5,9.19 km,32.01,5775.28,43,"306,989.64",297839.42,226.05,0,USD,Sierra Rubio	,992.379.abcd,sierra.rubio93@yahoo.com,"Spacious Duplex featuring 4 bedrooms and 2.2 bathrooms, close to downtown Nashville.",
PROP-101372,MLS-101372,04/01/2025,20/03/2025,73971 Karen Bypass,Denever,co,10783,United States,44.901561,-74.139148,TOWNHOUSE,1,1.0,6004.7,1444.9 sqft,2010.0,2011.0,2.0,N,N,Electric,,2.3,5.32,46.1,9.75 km,$223.83,"4,290.77",7,"$267,057.79",243448.32,168.49,0,USD,Erik Brown	,(905) 953-2763,erik.brown54@outlook.com,"Fixer-upper Town house priced to sell, needs TLC but great bones.",
PROP-104940,MLS-104940,17-Nov-2023,Feb 30 2023,75733 Tiffany Burg Suite 119, Chicago ,Illinois,47966,usa,46.47473,-87.89948,HOUSE,3,2.5,5644.7,1809.6 sqft,1966.0,,3.0,True,1,Oil,,6.9,7.32,68.0,0.64 mi,$22.62,"3,934.52",7,"$257,630.85",246663.61,136.31,False,USD,Mark Collins,733-723-2287,mark.collins23@gmail.com,"Luxury house boasting modern finishes, 3 bedrooms, and a three-car garage.",
PROP-102945,MLS-102945,"August 06, 2025",,133 Banks Square Apt. 781,Na ashville,Tennessee,86418, USA,28.465249,-97.236906,DUPLEX,2,1.6,11795.9,1271.2 sqft,1989.0,2009.0,3.0,False, No,Gas,,7.1,1.23,71.0,29.73 km,$14.62,"2,188.30",5,203685.98,,,No,USD,Molly Gonzalez,462-909-7158,molly.gonzalez37@gmail.com,"Fixer-upper Duplex priced to sell, needs TLC but great bones.",Overpriced for the condition it was in...
PROP-104408,MLS-104408,2023-11-17,2026-01-08,13113 Mason Cliff,Columbus,OH,30992,Usa,38.795476,-77.549176,TOWNHOUSE,2,2.0,8998.3,2834.0 sqft,1987.0,,2.0,N,Yes,Gas,,10.0,46.67,78.9,7.86 km,$194.75,"$14,030.90",12,"$653,824.77",655040.78,231.14,0,USD,Tracey Holland,CALL-ME-7181,tracey.holland5@yahoo.com,"Fixer-upper Townhouse priced to sell, needs TLC but great bones.","Kitchen appliances were outdated, needs renovation."
PROP-100143,MLS-100143,01/07/2026,,  1016 Bennett Mountains,SEATTLE,Washington,41816,U.S.A,33.007082,-78.881182,CONDOMINIUM,2,1.9,28925.4,100.1 sqm,2017.0,,0.0,1,true,Gas,Evaporative,8.5,4.38,88.0,4.8 km,$230.12,"2,519.07",60,"244,881.25",,, No,USD,Jared Cunningham,CALL-ME-2435,jared.cunningham16@realty.com,"Cozy Condo with great potential, located near top-rated schools in SEATTLE.","Beautiful backyard, perfect for entertaining guests."
PROP-108527,MLS-108527,2026-04-01,,88112 Taylor Village Suite 536,Chicagoo,Illinois,45638,Usa,46.744061,-101.666424,HOUSE,1,1.0,2896.7,879.9 sqft,1967.0,,2.0, No,YES,Gas,,6.3,16.93,75.7,9.65 km,$34.80,"$1,220.49",16,130014.05,,, No,USD,Virginia Chandler,606-586-7514,virginia.chandler36@realty.com,,"Kitchen appliances were outdated, needs renovation."
PROP-100009,MLS-100009,"April 26, 2024",,0164 Adam Trail Apt. 427,CHICAGO,Illinois,98039,USA,45.381362,-86.516065,HOUSE,2,1.0,6666.8,1009.0 sqft,2008.0,,0.0, No,NO,Gas,,9.2,3.81,79.8,6.72 km,39.03,2325.81,13,"$266,889.24",,,NO,USD,Christina Walters,(275) 776-6874,christina.walters56@yahoo.com,"Cozy House with great potential, located near top-rated schools in CHICAGO.","Beautiful backyard, perfect for entertaining guests."
PROP-102334,MLS-102334,"November 04, 2024",,322 Barrera Estates,orlando,FL,21809, USA,36.025641,-95.819197,HOUSE,1,1.0,1631.0,204.9 sqm,1973.0,1998.0,1.0,false,False,Electric,,2.4,28.43,45.8,16.42 km,$7.81,"6,039.51",7,"$293,473.20",,,False,USD,Sharon Owen,(309) 228-3943,sharon.owen32@gmail.com,"Cozy house with great potential, located near top-rated schools in orlando.","House needed a lot of repairs, roof was leaking."
PROP-108726,MLS-108726,"October 31, 2025",,22439 Cole Vista, Raleigh,North Carolina,89177,US,,-70.224164,CONDOMINIUM,3,2.9,8553.0,2330.8 sqft,1961.0,1989.0,1.0,false,NO,Geothermal,Window Unit,8.1,27.02,59.3,23.41 km,$171.03,9521.63,5,,,,Y,USD,Michael Lee,(511) 258-2819,michael.lee_at_realty.com,Charming 3-bed condo in the heart of  Raleigh. Recently updated kitchen and spacious backyard.,"House needed a lot of repairs, roof was leaking."
PROP-103300,MLS-103300,15/07/2025,2025-08-31,5893 Walker Roads Apt. 584, Charlotte,North Carolina,67089,U.S.A,48.622536,,TOWNHOUSE,2,2.1,5071.6,1854.2 sqft,1995.0,,2.0,yes ,YES,Electric,,4.1,14.81,63.4,10.7 km,$150.07,,22,236448.35,254966.7,137.51,false,USD,Kaitlin Davis,(588) 887-2825,kaitlin.davis58@gmail.com,Charming 2-bed Town house in the heart of  Charlotte. Recently updated kitchen and spacious backyard.,
PROP-101932,MLS-101932,2025-04-07,,569 Pamela Stream,CHARLOTTE,NC,17036,US,33.90517,-81.287249,APARTMENT,2,1.0,8006.6,1396.1 sqft,1987.0,,0.0,False,1,Electric,,4.8,6.37,65.8,4.3 mi,$50.83,4830.94,29,"256,386.68",,,False,USD,Becky Gàrcià,(370) 974-4237,becky.garcia94yahoo.com,,Overpriced for the condition it was in...
PROP-106455,MLS-106455,09-Oct-2024,"November 07, 2025",49536 Williams Throughway Suite 270,Orlando,Florida,96234, USA,26.50634,-94.972589,HOUSE,3,3.4,8845.1,969.6 sqft,1979.0,,2.0,Y,1,,,4.5,14.02,59.2,14.46 km,4.05,"2,209.16",26,"$137,577.56",136630.52,140.91,false,USD,Lucas Rubio,692.640.abcd,lucas.rubio5@gmail.com,"Cozy House with great potential, located near top-rated schools in Orlando.","Great location, close to schools and shops."
PROP-101139,MLS-101139,02-May-2025,03/24/2026,6123 Mitchell Causeway,Nashville ,Tennessee,59563,US,34.413285,-77.117935,HOUSE,2,2.1,10095.3,2002.1 sqft,2023.0,,2.0,Y, No,Gas,,4.5,6.99,59.2,1.84 km,$25.81,"9,196.58",0,"$461,766.83",457088.6,228.3,No,USD,Bryan Perry,(854) 898-9508,bryan.perry16@yahoo.com,"  Cozy House with great potential, located near top-rated schools in Nashville.  ",Amazing view of the mountains from the master bedroom.
PROP-103106,MLS-103106,20-Sep-2025,"April 24, 2026",44805 Obrien Hills,Portla and,OR,12291,Usa,35.368303,-100.627427,CONDOMINIUM,1,1.0,7230.5,3100.3 sqft,2005.0,,1.0,False,0,Gas,,5.0,3.57,76.3,5.58 km,TBD,4766.22,14,"$535,664.14",527170.43,170.04,true,USD,Joseph Navarro,(921) 561-7644,joseph.navarro17@outlook.com,"  Fixer-upper condo priced to sell, needs TLC but great bones.  ","Kitchen appliances were outdated, needs renovation."
PROP-102029,MLS-102029,2025-05-23,,7698 Lawrence Plains,Miami,FL,38066,U.S.A,27.014839,-102.812467,APARTMENT,0,1.0,3955.3,1658.7 sqft,1970.0,,2.0,false,No,Electric,,8.7,16.45,82.4,4.42 km,232.57,"$6,349.19",76,"$304,119.16",,,No,USD,Devon Mcbride,(536) 855-9756,devon.mcbride32@outlook.com,"Spacious apartment featuring 0 bedrooms and 1.0 bathrooms, close to downtown Miami.","House needed a lot of repairs, roof was leaking."
PROP-101146,MLS-101146,03/05/2024,,688 Steven Terrace,Chicago,  illinois,85447,United States,35.44473,-67.990788,HOUSE,4,4.6,3388.0,1590.7 sqft,2017.0,,2.0,0,True,,,7.9,9.87,80.0,15.14 km,$2.23,"$3,958.76",27,"$219,366.28",,,NO,USD,Kathryn Montoya ,(611) 574-1531,kathryn.montoya7@yahoo.com,"Luxury Hse boasting modern finishes, 4 bedrooms, and a three-car garage.",
PROP-102519,MLS-102519,14.02.2026,10.07.2026,838 Victoria Wall ,Raleigh,North Carolina,67620,Usa,35.148909,-107.695287,HOUSE,2,2.3,6428.2,1494.3 sqft,1945.0,,4.0,0,YES,Gas,,5.2,12.89,63.5,12.64 km,$32.70,6827.69,204,"$344,595.58",319239.52,213.64,N,USD,Amy Gutierrez	,694-646-3507,amy.gutierrez_at_outlook.com,Charming 2-bed house  in the heart of Raleigh. Recently updated kitchen and spacious backyard.,
PROP-103188,MLS-103188,22/01/2026,29/03/2026,00485 Chandler Coves Apt. 348,Seattle,washington ,15194,Usa,44.751988,-78.824312,TOWNHOUSE,2,1.4,2038.3,2102.4 sqft,1974.0,,4.0,0,1,Gas,Evaporative,5.9,0.53,71.9,10.25 mi,$52.34,"$5,640.65",76,"470,538.23",442192.76,210.33,N,USD,Kristen Sanchez,752-238-3104,kristen.sanchez41@gmail.com,"Spacious Townhouse featuring 2 bedrooms and 1.4 bathrooms, close to downtown Seattle.",Amazing view of the mountains from the master bedroom.
PROP-106549,MLS-106549,2023-11-21,10/02/2025,98977 Karen Causeway,Orlando,fl,30078,United States,29.933842,-107.730277,APARTMENT,3,2.1,5743.9,1327.3 sqft,2004.0,2031.0,0.0,YES, No,Electric,,6.2,2.16,66.9,8.36 km,64.96,"$3,909.80",57,"328,391.98",301776.53,227.36,YES,USD,  Sandra Bell,(467) 680-9588,sandra.bell11@realty.com,"Luxury Apartment boasting modern finishes, 3 bedrooms, and a three-car garage.","Beautiful backyard, perfect for entertaining guests."
PROP-103358,MLS-103358,12-Oct-2023,,9774 Aaron Spurs,Sacramento,CA,34162,Usa,39.909586,-101.266641,APARTMENT,2,1.2,1667.2,2821.9 sqft,1957.0,,2.0,N,1,Wood,,3.9,39.96,43.9,6.3 mi,282.18,"4,112.44",23,"293,887.71",,,0,USD,Eric House,(543) 999-3116,eric.house38@yahoo.com,"Cozy Apartment with great potential, located near top-rated schools in Sacramento.",
PROP-100997,MLS-100997,2025-04-07,09/12/2025,36852 Alexis Meadow Apt. 537 ,Miami,Florida,91797,USA,38.953714,-68.374809,TOWNHOUSE,4,3.8,6676.7,1799.3 sqft,1951.0,1954.0,2.0,Yes,N,Electric,,6.4,10.62,73.1,8.74 mi,55.07,Unknown,32,"$467,389.50",434601.24,241.54,false,USD,Mary Crawford,(854) 436-2838,mary.crawford56@realty.com,"Fixer-upper Townhouse priced to sell, needs TLC but great bones.",Amazing view of the mountains from the master bedroom.
PROP-103461,MLS-103461,09/01/2025,,548 Torres Mountains,Boston,ma,92592,US,47.777155,-80.735352,HOUSE,1,1.0,8189.1,2065.6 sqft,1987.0,2013.0,2.0,NO,Yes,Gas,,,45.22,64.2,0.28 mi,17.89,"$4,835.36",42,"318,789.10",,,false,USD,Judy Dean MD,(300) 657-7223,judy.dean.md27@gmail.com,"Cozy house with great potential, located near top-rated schools in Boston.",
PROP-106543,MLS-106543,01.02.2026,19-Mar-2026,053 Stacey Cape Apt. 584,Columbus,OH,47537,U.S.A,48.036044,-109.949714,TOWNHOUSE,2,1.3,4054.3,1450.9 sqft,1969.0,,2.0, No,No,Gas,,5.8,10.33,70.7,0.75 km,$61.53,3396.39,43,288741.0,281932.5,194.32,false,USD,Pamela White,CALL-ME-8949,pamela.white63@outlook.com,"Fixer-upper Townhouse priced to sell, needs TLC but great bones.",
PROP-106143,MLS-106143,13.05.2026,,684 Jacob Port Apt. 888,Miami	,  FL,75965, USA,,-103.595835,APARTMENT,3,1.5,3447.5,1731.1 sqft,2025.0,,2.0,No,0,Electric,,8.4,0.75,75.6,4.06 mi,189.76,"3,043.56",47,"$312,910.98",,,false,USD,Jessica Rogers,(877) 562-2350,jessica.rogers22@outlook.com,"Spacious apartment featuring 3 bedrooms and 1.5 bathrooms, close to downtown Miami.","gooood house, will recomend!!"
PROP-100945,MLS-100945,2023-08-24,24/03/2024,60508 Daniel Shores Suite 980,Boston,MA	,17539,US,28.661645,-88.066828,HOUSE,4,3.5,5060.0,1911.8 sqft,2021.0,2028.0,1.0, No,True,Solar,,10.0,7.37,78.8,0.07 mi,$24.90,"$8,032.45",47,"422,841.28",404220.21,211.43,0,USD,Lauren Wilson,617-440-9404,lauren.wilson10@yahoo.com,"Luxury HOUSE boasting modern finishes, 4 bedrooms, and a three-car garage.",Not worth the asking price tbh.
PROP-104603,MLS-104603,19-Dec-2023,,93646 Adams Springs,Orlando,fl,97926,U.S.A,34.849668,-87.232035,HOUSE,1,1.4,6740.1,2176.1 sqft,1974.0,,2.0,N,True,Gas,,,4.2,83.2,8.16 km,16.28,4049.38,10,"$342,040.82",,, No,USD,Tiffany Gray,(662) 367-6751,tiffany.gray4@outlook.com,"Spacious House featuring 3 bedrooms and 1.4 bathrooms, close to downtown Orlando.","Kitchen appliances were outdated, needs renovation."
PROP-101467,MLS-101467,04/18/2025,25.04.2025,378 Jose Meadow,Atlanta,Georgia,00000-####, USA,38.258324,-105.870031,APARTMENT,1,1.0,13414.3,2422.0 sqft,2025.0,,2.0,0,YES,Electric,Ductless,7.7,7.75,80.0,1.4 mi,$157.16,"$6,358.54",149,640456.11,627501.91,259.08,false,USD,Donald Morris,CALL-ME-1205,donald.morris77@realty.com,Charming 3-bed Apt in the heart of Atlanta. Recently updated kitchen and spaccious backyard.,
PROP-102825,MLS-102825,2026-01-12,04/11/2026,3059 Ortiz Dale,Columbus,OH,86095,USA,40.822301,-99.243543,APARTMENT,3,2.6,2317.0,1658.3 sqft,1946.0,,2.0,0,Y,Gas,Window Unit,8.9,8.88,79.0,5.55 km,176.28,"$7,823.19",16,"409,256.76",411393.22,248.08,NO,USD,Nathan Sanchez,(851) 349-1024,nathan.sanchez79@yahoo.com,,Neighborhood is quiet and safe for kids.
PROP-101601,MLS-101601,02.06.2024,,0249 Jordan Grove Apt. 095, Columbus,Ohio,13788,US,39.322551,-122.129584,HOUSE,2,2.6,8981.2,1582.6 sqft,1986.0,1988.0,2.0, No, No,Solar,,,41.13,48.9,2.65 mi,0.00,"$6,887.30",7,"362,763.26",,,true,USD,James Barton,(225) 314-8615,james.barton55@outlook.com,,
PROP-109124,MLS-109124,03/16/2026,21.06.2026,840 Snyder Mountains Apt. 176,Dallas,Texas,55002,USA,45.732547,-111.803676,TOWNHOUSE,7,7.5,3347.1,183.5 sqm,1905.0,1907.0,1.0,YES,N,Gas,,4.7,60.05,37.5,0.23 km,171.79,"2,147.23",59,233717.25,229526.0,116.18,No,USD,Richard Turner,(585) 696-3779,richard.turner69@realty.com,"Cozy Town house with great potential, located near top-rated schools in Dallas.",Traffic noise was worse than expected.
PROP-101366,MLS-101366,"March 22, 2024",,057 Anderson Grove,Maimi,Florida,62184,US,30.163218,-86.018559,TOWNHOUSE,0,1.0,9485.4,2815.3 sqft,1996.0,2022.0,2.0,0,true,Gas,,7.1,2.38,79.5,1.65 km,$185.08,"$8,136.53",45,"460,115.79",,,false,USD,Ryan Huffman,CALL-ME-7323,ryan.huffman61@outlook.com,"  Fixer-upper TOOWNHOUSE priced to sell, needs TLC but great bones.  ",Loved the open floor plan and natural light!!
PROP-106836,MLS-106836,11/09/2024,09/01/2026,17199 Mary Lodge,COLUMBUS,OH ,54648,United States,36.910456,-119.09622,APARTMENT,2,1.0,10245.4,1160.7 sqft,2000.0,2006.0,2.0,N,false,Electric,Ductless,6.5,13.49,68.4,2.52 km,$190.45,"$2,284.92",8,"126,972.35",132713.81,114.34,False,USD,Cynthia Davis,(720) 757-6475,cynthia.davis83@yahoo.com,,
PROP-105629,MLS-105629,16-Apr-2024,,6966 Diana Hollow,SACRAMENTO,California,33569,U.S.A,35.702576,,HOUSE,5,5.6,13420.3,2089.0 sqft,1973.0,1985.0,3.0,false,No,,Ductless,2.8,4.33,61.8,13.53 km,$23.21,"$9,682.91",46,"$461,583.54",,,false,USD,Julie King,741-224-3630,julie.king45@yahoo.com,"Spacious house featuring 5 bedrooms and 5.6 bathrooms, close to downtown SACRAMENTO.","Beautiful backyard, perfect for entertaining guests."
PROP-106589,MLS-106589,"July 10, 2025","February 12, 2026",80978 Dixon Circles,PORTLAND,Oregon,82951,US,43.224655,-77.716393,HOUSE,3,1.5,2063.1,165.8 sqm,1992.0,,3.0,true,true,Gas,,5.1,6.64,79.6,4.02 km,$34.11,"$9,621.91",31,"$537,629.18",503474.65,282.06,NO,USD,Charles Bell,790.638.abcd,charles.bell28@realty.com,"Cozy  House with great potential, located near top-rated schools in PORTLAND.","Great location, close to schools and shops."
PROP-101672,MLS-101672,19-Aug-2025,,15866 Rodriguez Port Suite 675,Sea attle,wa,69138,United States,36.236874,-78.27099,CONDOMINIUM,2,1.0,1209.8,1412.6 sqft,1954.0,,4.0,Y,true,Coal,,5.8,44.12,47.4,19.83 km,$24.08,2605.79,22,"$291,560.67",,,0,USD,Maria Harris,439-598-3903,maria.harris13@yahoo.com,"Fixer-upper Condo priced to sell, needs TLC but great bones.","gooood house, will recomend!!"
PROP-102824,MLS-102824,05/18/2026,05/23/2026,14217 Hughes Dam Suite 799,Orlando,Florida,50557,US,46.9063,-121.035861,APARTMENT,4,3.4,6576.1,2216.4 sqft,1965.0,1987.0,2.0, No,yes ,Wood,,8.0,1.49,81.0,15.47 km,$203.19,6268.37,44,387801.06,363394.75,163.96,No,USD,Troy Tucker ,627-879-5896,troy.tucker8outlook.com,"Spacious Apartment featuring 4 bedrooms and 3.4 bathrooms, close to downtown Orlando.",
PROP-106331,MLS-106331,05/27/2024,30-Oct-2025,034 Hughes Trail,Dallas ,texas,92146,Usa,35.217731,-68.709707,CONDOMINIUM,1,1.0,8606.5,1014.1 sqft,2018.0,,2.0,Y,True,Gas,,5.2,3.75,67.8,12.91 km,107.91,3105.62,1,"$210,086.62",214847.43,211.86,NO,USD,Kelsey Myers,(846) 797-9366,kelsey.myers95@outlook.com,"Fixer-upper CONDO priced to sell, needs TLC but great bones.",
PROP-103696,MLS-103696,"July 24, 2023",24.07.2024,  5886 Wright Creek,columbus,Ohio,15853,USA,38.261339,-75.844779,HOUSE,4,2.2,4135.2,1105.8 sqft,1940.0,,2.0,0,False,Electric,Ductless,3.4,41.05,47.3,0.3 km,$34.94,5184.14,29,"$268,713.84",244773.6,221.35,Y,USD,  Julie Harris,657-572-4477,julie.harris38@gmail.com,"Cozy House with great potential, located near top-rated schools in columbus.",Overpriced for the condition it was in...
PROP-103952,MLS-103952,07/07/2026,,6337 Robert Vista,columbus,OH,59646,Usa,,-77.201637,HOUSE,4,2.1,985.1,2320.6 sqft,1973.0,,1.0,NO,No,Gas,,5.2,1.98,74.5,1.64 km,25.38,5106.21,35,"$581,911.10",,,false,USD,Marie Munoz,601-374-2348,marie.munoz61gmail.com,"  Spacious house featuring 4 bedrooms and 2.1 bathrooms, close to downtown columbus.  ","Beautiful backyard, perfect for entertaining guests."
PROP-103294,MLS-103294,2024-11-01,10/27/2025,770 Wilson Lodge Suite 067,Chicago,IL,65551,US,47.668881,-86.959528,HOUSE,4,2.0,7732.2,1796.6 sqft,1995.0,2006.0,3.0,False,1,Electric,Central AC,9.2,10.0,74.1,11.88 km,$57.00,"$4,568.57",6,"$525,073.38",491359.44,273.49,false,USD,Susan Carney,(776) 985-2879,susan.carney49@gmail.com,"Cozy  House with great potential, located near top-rated schools in Chicago.",Closing process took way longer than promised.
